time,latitude,longitude,altitude,speed,bearing,num_of_satellites,HDOP
52133,5442.6029,2518.8532,75.6,30.32,17.37,13,0.73
52134,5442.6108,2518.8577,75.9,30.32,17.37,12,0.76
52134,5442.6108,2518.8577,75.9,29.57,14.39,12,0.76
52135,5442.6189,2518.8617,75.7,29.57,14.39,13,0.73
52135,5442.6189,2518.8617,75.7,31.06,11.85,13,0.73
52136,5442.6271,2518.8652,75.2,31.06,11.85,12,0.75
52136,5442.6271,2518.8652,75.2,30.19,12.77,12,0.75
52137,5442.6352,2518.8686,74.9,30.19,12.77,13,0.73
52137,5442.6352,2518.8686,74.9,29.2,11.88,13,0.73
52138,5442.6431,2518.8717,74.6,29.2,11.88,12,0.79
52138,5442.6431,2518.8717,74.6,31.27,10.1,12,0.79
52139,5442.6514,2518.8748,74.5,31.27,10.1,13,0.73
52139,5442.6514,2518.8748,74.5,30.39,11.11,13,0.73
52140,5442.6598,2518.8778,74.3,30.39,11.11,13,0.73
52140,5442.6598,2518.8778,74.3,29.62,11.53,13,0.73
52141,5442.668,2518.8807,74,29.62,11.53,13,0.73
52141,5442.668,2518.8807,74,31.16,9.34,13,0.73
52142,5442.6764,2518.8834,73.6,31.16,9.34,12,0.76
52142,5442.6764,2518.8834,73.6,30.38,10.96,12,0.76
52143,5442.6848,2518.8861,73.2,30.38,10.96,13,0.79
52143,5442.6848,2518.8861,73.2,30.44,11.43,13,0.79
52144,5442.6931,2518.8891,73,30.44,11.43,13,0.73
52144,5442.6931,2518.8891,73,31.69,11.83,13,0.73
52145,5442.7015,2518.8922,72.3,31.69,11.83,13,0.73
52145,5442.7015,2518.8922,72.3,29.64,11.87,13,0.73
52146,5442.7097,2518.8952,71.5,29.64,11.87,13,0.73
52146,5442.7097,2518.8952,71.5,28.61,11.36,13,0.73
52147,5442.7175,2518.8982,71.2,28.61,11.36,13,0.79
52147,5442.7175,2518.8982,71.2,29.29,9.57,13,0.79
52148,5442.7253,2518.9009,70.8,29.29,9.57,13,0.73
52148,5442.7253,2518.9009,70.8,27.45,11.05,13,0.73
52149,5442.7329,2518.9034,70.3,27.45,11.05,13,0.73
52149,5442.7329,2518.9034,70.3,26.94,11.99,13,0.73
52150,5442.7401,2518.906,70.3,26.94,11.99,13,0.79
52150,5442.7401,2518.906,70.3,27.68,10.68,13,0.79
52151,5442.7475,2518.9084,69.9,27.68,10.68,12,0.79
52151,5442.7475,2518.9084,69.9,27.41,10.4,12,0.79
52152,5442.755,2518.9108,70.2,27.41,10.4,12,0.76
52152,5442.755,2518.9108,70.2,27.04,8.99,12,0.76
52153,5442.7624,2518.913,70.1,27.04,8.99,13,0.73
52153,5442.7624,2518.913,70.1,24.08,9.84,13,0.73
52154,5442.7692,2518.915,70,24.08,9.84,13,0.73
52154,5442.7692,2518.915,70,20.83,9.48,13,0.73
52155,5442.7749,2518.9169,70.1,20.83,9.48,12,0.76
52155,5442.7749,2518.9169,70.1,16.6,10.43,12,0.76
52156,5442.779,2518.9179,71.1,16.6,10.43,12,0.76
52156,5442.779,2518.9179,71.1,12.42,11.69,12,0.76
52157,5442.7823,2518.9194,70.8,12.42,11.69,13,0.73
52157,5442.7823,2518.9194,70.8,9.89,16.87,13,0.73
52158,5442.7844,2518.9203,72.8,9.89,16.87,13,0.73
52158,5442.7844,2518.9203,72.8,10.55,22.53,13,0.73
52159,5442.7863,2518.9218,75.3,10.55,22.53,13,0.73
52159,5442.7863,2518.9218,75.3,13.54,18.4,13,0.73
52200,5442.7892,2518.9238,77.5,13.54,18.4,11,0.92
52200,5442.7892,2518.9238,77.5,15.94,12.7,11,0.92
52201,5442.7929,2518.9258,79.6,15.94,12.7,13,0.79
52201,5442.7929,2518.9258,79.6,19,9.69,13,0.79
52202,5442.798,2518.9274,80.4,19,9.69,13,0.79
52202,5442.798,2518.9274,80.4,22.85,11.58,13,0.79
52203,5442.8041,2518.9294,80.7,22.85,11.58,13,0.79
52203,5442.8041,2518.9294,80.7,26.11,10.14,13,0.79
52204,5442.8113,2518.9316,81.3,26.11,10.14,13,0.73
52204,5442.8113,2518.9316,81.3,28.46,9.95,13,0.73
52205,5442.819,2518.9339,81.3,28.46,9.95,12,0.79
52205,5442.819,2518.9339,81.3,30.58,9.7,12,0.79
52206,5442.8272,2518.9364,81.1,30.58,9.7,12,0.79
52206,5442.8272,2518.9364,81.1,31.36,9.08,12,0.79
52207,5442.8357,2518.9388,81.3,31.36,9.08,13,0.79
52207,5442.8357,2518.9388,81.3,32.25,8.34,13,0.79
52208,5442.8445,2518.9413,82.2,32.25,8.34,11,0.83
52208,5442.8445,2518.9413,82.2,33.29,8.33,11,0.83
52209,5442.8536,2518.9437,82.9,33.29,8.33,12,0.85
52209,5442.8536,2518.9437,82.9,34.75,10.08,12,0.85
52210,5442.863,2518.9465,84,34.75,10.08,12,0.84
52210,5442.863,2518.9465,84,35.16,11.31,12,0.84
52211,5442.8726,2518.9499,84.8,35.16,11.31,11,0.82
52211,5442.8726,2518.9499,84.8,36.05,10.17,11,0.82
52212,5442.8824,2518.9532,85.3,36.05,10.17,12,0.75
